Symbol,Signal,Type,EntryTime,ExitTime,Entry,Exit,Stop,TP1,TP2,ExitReason,PnL_USD,PnL_Percent,BarsHeld,PassedTrend,TrendDir
ETHUSDT,EngulfingPullback,LONG,2025-11-16T02:00:00.000Z,2025-11-16T15:00:00.000Z,3204.73,3134.45,3136.02,3337.36,3404.47,STOP,-2.05,-2.27,13,false,DOWN
ETHUSDT,EngulfingRally,SHORT,2025-11-20T13:00:00.000Z,2025-11-20T16:00:00.000Z,2998.31,2888.07,3055.68,2888.07,2832.20,TP1,3.24,3.60,3,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2025-11-21T02:00:00.000Z,2025-11-24T04:00:00.000Z,2781.28,2869.34,2867.90,2612.20,2526.97,STOP,-2.92,-3.25,74,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2025-12-05T16:00:00.000Z,2025-12-07T17:00:00.000Z,3031.26,3116.50,3114.95,2868.45,2786.28,STOP,-2.60,-2.89,49,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2025-12-07T21:00:00.000Z,2025-12-08T09:00:00.000Z,3083.81,3149.06,3147.48,2961.09,2898.95,STOP,-1.98,-2.20,12,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2025-12-16T16:00:00.000Z,2025-12-17T01:00:00.000Z,2937.12,2971.60,2970.12,2875.53,2844.00,STOP,-1.13,-1.25,9,true,DOWN
ETHUSDT,EngulfingPullback,LONG,2026-01-12T15:00:00.000Z,2026-01-12T17:00:00.000Z,3131.74,3085.15,3086.69,3217.12,3260.60,STOP,-1.41,-1.57,2,true,UP
ETHUSDT,EngulfingRally,SHORT,2026-01-23T19:00:00.000Z,2026-01-25T16:00:00.000Z,2958.32,2890.25,2994.58,2890.25,2855.47,TP1,2.00,2.22,45,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-02-03T14:00:00.000Z,2026-02-03T18:00:00.000Z,2256.07,2128.41,2321.59,2128.41,2064.02,TP1,5.02,5.58,4,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-02-05T10:00:00.000Z,2026-02-05T15:00:00.000Z,2096.67,1956.54,2144.78,2003.60,1956.54,TP2,5.94,6.60,5,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-02-06T06:00:00.000Z,2026-02-06T14:00:00.000Z,1907.37,1972.19,1971.20,1782.55,1719.67,STOP,-3.13,-3.48,8,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-02-23T14:00:00.000Z,2026-02-23T17:00:00.000Z,1905.97,1839.69,1929.33,1862.10,1839.69,TP2,3.06,3.40,3,true,DOWN
ETHUSDT,EngulfingPullback,LONG,2026-03-03T15:00:00.000Z,2026-03-04T08:00:00.000Z,1970.20,2051.31,1928.18,2051.31,2092.35,TP1,3.63,4.04,17,false,DOWN
ETHUSDT,EngulfingPullback,LONG,2026-03-17T11:00:00.000Z,2026-03-17T15:00:00.000Z,2327.98,2305.99,2307.15,2366.17,2385.84,STOP,-0.92,-1.02,4,true,UP
ETHUSDT,EngulfingRally,SHORT,2026-05-18T13:00:00.000Z,2026-05-18T18:00:00.000Z,2129.84,2081.30,2155.71,2081.30,2056.50,TP1,1.98,2.20,5,true,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-06-10T08:00:00.000Z,2026-06-10T12:00:00.000Z,1620.53,1644.99,1644.17,1575.68,1552.84,STOP,-1.43,-1.59,4,true,DOWN
ETHUSDT,EngulfingPullback,LONG,2026-06-12T14:00:00.000Z,2026-06-15T11:00:00.000Z,1686.48,1751.03,1652.95,1751.03,1783.72,TP1,3.37,3.75,69,false,DOWN
ETHUSDT,EngulfingRally,SHORT,2026-06-24T02:00:00.000Z,2026-06-24T05:00:00.000Z,1663.20,1677.81,1676.97,1638.16,1625.22,STOP,-0.86,-0.96,3,true,DOWN
SOLUSDT,EngulfingRally,SHORT,2025-07-08T19:00:00.000Z,2025-07-09T05:00:00.000Z,151.55,153.19,153.12,148.66,147.17,STOP,-1.04,-1.16,10,false,NEUTRAL
SOLUSDT,EngulfingPullback,LONG,2025-07-17T04:00:00.000Z,2025-07-17T09:00:00.000Z,171.41,176.16,168.90,176.16,178.58,TP1,2.42,2.69,5,false,NEUTRAL
SOLUSDT,EngulfingPullback,LONG,2025-07-17T17:00:00.000Z,2025-07-17T20:00:00.000Z,174.31,171.83,171.92,178.83,181.13,STOP,-1.35,-1.50,3,false,NEUTRAL
SOLUSDT,EngulfingPullback,LONG,2025-07-18T12:00:00.000Z,2025-07-18T14:00:00.000Z,180.23,177.85,177.94,184.53,186.73,STOP,-1.26,-1.40,2,false,NEUTRAL
SOLUSDT,EngulfingPullback,LONG,2025-07-21T02:00:00.000Z,2025-07-21T14:00:00.000Z,184.44,193.61,179.72,193.61,198.24,TP1,4.40,4.89,12,false,NEUTRAL
SOLUSDT,EngulfingRally,SHORT,2025-08-06T16:00:00.000Z,2025-08-06T18:00:00.000Z,167.66,169.92,169.84,163.54,161.44,STOP,-1.29,-1.43,2,false,UP
SOLUSDT,EngulfingRally,SHORT,2025-08-18T23:00:00.000Z,2025-08-19T00:00:00.000Z,182.85,185.06,184.97,178.88,176.85,STOP,-1.16,-1.29,1,false,UP
SOLUSDT,EngulfingPullback,LONG,2025-08-28T14:00:00.000Z,2025-08-28T15:00:00.000Z,215.75,211.13,211.24,224.45,228.85,STOP,-2.00,-2.22,1,true,UP
SOLUSDT,EngulfingRally,SHORT,2025-08-31T02:00:00.000Z,2025-08-31T23:00:00.000Z,204.94,200.97,207.07,200.97,198.94,TP1,1.67,1.85,21,false,UP
SOLUSDT,EngulfingRally,SHORT,2025-09-01T20:00:00.000Z,2025-09-02T02:00:00.000Z,197.61,200.67,200.57,191.99,189.13,STOP,-1.47,-1.63,6,false,UP
SOLUSDT,EngulfingRally,SHORT,2025-09-02T07:00:00.000Z,2025-09-02T14:00:00.000Z,202.02,204.71,204.61,197.14,194.65,STOP,-1.27,-1.41,7,false,UP
SOLUSDT,EngulfingRally,SHORT,2025-09-07T16:00:00.000Z,2025-09-07T22:00:00.000Z,203.35,205.99,205.89,198.57,196.13,STOP,-1.24,-1.38,6,false,UP
SOLUSDT,EngulfingPullback,LONG,2025-09-09T22:00:00.000Z,2025-09-10T07:00:00.000Z,217.32,222.47,214.58,222.47,225.10,TP1,2.06,2.29,9,true,UP
SOLUSDT,EngulfingPullback,LONG,2025-09-17T05:00:00.000Z,2025-09-17T16:00:00.000Z,235.19,232.62,232.73,239.74,242.08,STOP,-1.06,-1.17,11,true,UP
SOLUSDT,EngulfingPullback,LONG,2025-09-19T13:00:00.000Z,2025-09-19T14:00:00.000Z,242.23,240.06,240.18,245.97,247.90,STOP,-0.88,-0.98,1,true,UP
